Month,Active_day,Fav_count,retweet_count,tweet_count,reply_count,mention_count,quote_count,retweet_by_other_count
Jun-20,9,398179,0,8,2,0,2,18756
Jun-20,7,538105,1,8,1,0,3,36093
May-20,5,271773,0,4,3,0,0,19173
May-20,10,513828,0,10,0,0,5,29139
Apr-20,12,998866,0,6,244,0,2,71985
Apr-20,7,254981,0,4,10,0,3,19924
Mar-20,8,536825,1,16,2,2,2,41419
Mar-20,11,514411,0,18,0,2,2,29979
Feb-20,11,479839,0,12,57,0,4,29272
Feb-20,13,699684,0,12,10,0,8,38519
Jan-20,15,516860,0,11,1,0,7,31123
Jan-20,11,692377,0,11,2,0,1,44953
Dec-19,4,207497,0,3,0,0,1,9449
Dec-19,8,586973,0,12,0,0,2,41527
Nov-19,12,533718,0,14,5,0,1,33543
Nov-19,10,573804,0,11,1,0,1,30551
Oct-19,9,555650,0,12,1,0,1,25425
Oct-19,11,843434,0,17,0,0,4,47606
Sep-19,9,532916,0,10,1,0,3,29618
Sep-19,10,813155,0,17,0,0,3,38956
Aug-19,11,773833,0,21,1,0,2,42134
Aug-19,11,825827,0,14,2,0,3,46550
Jul-19,9,830859,0,9,55,0,2,48918
Jul-19,12,1754915,0,15,1,0,1,105511
Jun-19,10,1297954,0,17,3,0,1,80500
Jun-19,8,921824,0,11,0,0,3,59447
May-19,7,460369,0,7,1,0,1,28165
May-19,11,580217,1,11,2,0,0,37941
Apr-19,12,758603,1,15,84,1,7,48408
Apr-19,12,522226,0,17,5,0,0,33244
Mar-19,6,194588,0,9,0,0,0,11452
Mar-19,9,562619,0,11,0,0,3,39822
Feb-19,8,437066,0,7,0,0,4,46078
Feb-19,8,332118,0,9,1,0,0,18585
Jan-19,13,550164,1,16,0,0,7,37510
Jan-19,9,575956,0,12,6,0,0,42966
Dec-18,13,791095,0,25,2,0,1,51936
Dec-18,13,764866,0,23,2,0,1,53467
Nov-18,10,349624,0,13,0,0,3,22555
Nov-18,12,483464,0,17,0,0,0,35640
Oct-18,14,811663,0,24,0,0,2,56745
Oct-18,12,572124,0,20,0,0,2,37617
Sep-18,14,616137,0,22,0,0,4,38536
Sep-18,13,646727,0,29,0,0,1,44592
Aug-18,16,1107990,2,42,0,0,2,96434
Aug-18,15,539549,0,20,0,0,7,42415
Jul-18,12,388234,4,18,1,0,1,25494
Jul-18,14,1193060,1,34,1,0,5,107038
Jun-18,10,405718,0,13,0,0,7,28779
Jun-18,8,385156,0,10,0,0,0,33656
May-18,9,528918,0,14,1,0,5,49879
May-18,4,195909,0,4,0,0,0,13044
Apr-18,6,324691,0,7,9,0,30,26022
Apr-18,12,459677,0,17,0,0,1,44676
Mar-18,11,512209,0,12,0,2,4,51518
Mar-18,8,225790,0,8,0,0,4,15555
Feb-18,9,376159,0,12,0,0,2,31585
Feb-18,11,529928,1,15,0,0,1,46857
Jan-18,10,500276,0,19,1,0,1,46017
Jan-18,11,426761,4,17,0,0,4,43478
Dec-17,12,404608,19,11,0,0,20,39826
Dec-17,12,727084,1,21,0,0,3,62898
Nov-17,11,313486,0,14,0,0,1,25801
Nov-17,11,593335,3,18,0,0,3,58334
Oct-17,14,565499,0,29,0,0,2,54528
Oct-17,12,356533,2,18,0,0,3,30751
Sep-17,12,510969,0,20,0,0,8,56178
Sep-17,13,553586,1,27,0,0,5,61232
Aug-17,12,412743,0,23,0,0,2,47030
Aug-17,4,109516,0,4,0,0,1,11251
Jul-17,12,505995,1,29,0,0,1,61909
Jul-17,11,314089,1,10,0,0,2,38966
Jun-17,8,271329,0,12,0,0,1,32327
Jun-17,6,115234,2,5,0,0,1,14359
