Month,Active_day,Fav_count,retweet_count,tweet_count,reply_count,mention_count,quote_count,retweet_by_other_count
Jun-20,8,588606,0,10,0,0,1,55496
Jun-20,4,206521,0,4,2,0,0,20355
May-20,4,62825,1,3,2,0,0,3985
May-20,5,48357,2,2,0,0,2,4759
Apr-20,7,335071,0,7,0,0,0,17629
Apr-20,11,385533,3,14,0,0,0,27598
Mar-20,10,350637,5,14,0,0,1,36766
Mar-20,8,106633,2,6,0,0,0,6876
Feb-20,9,193044,3,7,1,0,0,10141
Feb-20,10,413905,4,10,0,0,1,28360
Jan-20,10,402000,0,12,3,0,0,25482
Jan-20,8,182143,2,7,0,0,1,9505
Dec-19,4,127051,3,3,0,0,0,7650
Dec-19,9,276337,4,8,1,0,0,20474
Nov-19,5,83712,1,4,0,0,0,8706
Nov-19,8,339329,2,5,0,0,1,31247
Oct-19,8,510057,2,7,84,0,15,28631
Oct-19,9,333136,0,13,0,0,0,24831
Sep-19,1,19669,0,1,0,0,0,1161
Sep-19,5,166510,0,5,0,0,0,11209
Aug-19,7,341914,0,8,0,0,1,20556
Aug-19,8,346853,1,9,0,0,0,18950
Jul-19,12,454176,2,13,0,0,0,28934
Jul-19,9,1319567,0,19,0,0,0,104327
Jun-19,10,948907,0,20,0,0,0,49459
Jun-19,12,768019,4,25,0,0,3,70370
May-19,9,561475,1,11,0,0,0,41017
May-19,10,335862,2,12,0,0,0,24300
Apr-19,12,312759,0,12,2,0,0,20664
Apr-19,11,474458,0,18,0,0,1,35259
Mar-19,10,425880,2,15,12,0,0,31695
Mar-19,9,352576,0,10,1,0,1,27978
Feb-19,6,250367,1,4,1,0,0,44971
Feb-19,12,278641,1,14,4,0,0,26279
Jan-19,10,328449,3,13,3,0,2,22320
Jan-19,10,400379,4,17,1,0,0,28038
Dec-18,12,301060,3,16,6,0,0,18349
Dec-18,13,452711,9,30,39,0,2,34563
Nov-18,12,306339,5,19,1,0,1,34166
Nov-18,13,430620,7,20,1,0,2,35954
Oct-18,12,627308,4,23,113,0,3,51355
Oct-18,13,334931,1,18,0,0,1,23013
Sep-18,11,404368,5,20,0,0,0,34846
Sep-18,11,270303,8,11,1,0,2,30477
Aug-18,16,749012,3,51,2,0,2,84643
Aug-18,13,479402,5,14,0,0,1,53660
Jul-18,10,326046,3,13,0,0,2,37703
Jul-18,13,863970,0,34,0,0,0,94584
Jun-18,11,314800,3,17,2,0,0,36152
Jun-18,13,425832,3,21,0,0,0,52324
May-18,11,516150,6,22,20,0,0,63009
May-18,5,167689,1,5,0,0,1,10063
Apr-18,10,786241,7,21,0,0,2,73994
Apr-18,14,825870,5,45,1,1,0,99354
Mar-18,14,449365,6,18,0,0,0,49857
Mar-18,11,284444,9,12,0,0,2,33535
Feb-18,9,543622,10,19,1,0,25,69997
Feb-18,11,633827,7,18,0,0,2,72487
Jan-18,14,626837,6,22,0,0,2,68657
Jan-18,14,387802,6,17,0,0,1,41002
Dec-17,9,422563,4,9,0,0,3,41791
Dec-17,13,484320,8,17,1,0,1,64722
Nov-17,10,188312,6,8,0,0,2,15306
Nov-17,13,356199,22,22,2,0,6,47086
Oct-17,16,798768,44,36,123,0,59,128424
Oct-17,15,320517,17,18,0,0,3,55036
Sep-17,14,467025,45,25,0,0,3,61694
Sep-17,14,266674,16,19,0,0,4,35737
Aug-17,14,345384,18,27,0,0,9,59708
Aug-17,14,336997,13,18,1,0,8,52063
Jul-17,15,622425,23,22,1,0,10,95819
Jul-17,13,470364,26,26,0,0,5,94316
Jun-17,15,704959,41,30,0,0,9,117568
Jun-17,15,589214,61,31,0,0,8,109206
May-17,16,471824,127,26,0,0,23,98129
May-17,15,274888,68,20,0,0,9,58218
Apr-17,15,409117,61,24,3,0,17,108873
Apr-17,15,352856,70,34,2,1,8,87756
Mar-17,16,206316,54,20,1,1,4,55600
Mar-17,14,242412,84,21,0,0,1,67389
Feb-17,12,295771,146,13,1,0,20,110155
Feb-17,0,0,0,0,0,0,0,0
